id,saleprice
2658,138291.17062213022
2718,164091.87742123974
2414,213907.44230232574
1989,103657.2008371675
625,179440.0372334497
333,78618.18736657412
1327,105101.7898480308
858,158975.22227616704
95,170317.4658124454
1568,174682.98187328255
2482,144548.42091111618
1364,119871.63657768455
2584,136643.4852489716
818,261487.8052524315
2673,119584.19977453553
2089,92073.58347398596
1297,180590.54601481307
790,128684.90524319219
2616,184951.96607858263
720,182205.31037252943
222,160686.62407323846
557,136931.85407344165
1148,183653.7738023726
2766,171501.9459822115
534,183676.9288216703
1452,118919.19688296503
630,111480.79789245891
2648,106721.91701798057
125,162961.4987838548
1904,59474.66565051142
1670,105712.80763650623
756,108264.10273282949
717,199241.5120878318
1032,144881.01915480196
852,226482.42701401105
1731,185828.65133133554
2639,109373.03135077795
2071,75249.58591486105
1267,105489.0599552658
1851,205184.58651562955
567,169014.21398604187
2439,196783.19525394763
1898,149965.80552968194
647,151004.58393941785
2256,210201.1268817774
979,87395.94074890808
1444,219039.72107051074
2485,114951.39129374956
157,139228.55234581418
88,119109.19523360142
2003,98964.6756648081
186,200870.0820283349
1425,242341.13059693403
2695,127911.1516538672
738,101607.72565942323
395,158404.65017274185
1353,166432.87295694367
1878,139657.79332676798
390,145060.96725748997
1456,230429.73472669531
1103,335456.1178232576
1387,141087.95360951062
2070,145034.4477280708
1199,148714.31339835713
2479,178504.3441405684
501,346195.0250215825
2362,76065.7467513814
1718,212894.93749898882
2188,81875.21723904216
1483,139776.3025902788
2557,88072.2787636793
437,355916.76151252806
2224,219892.63054040732
1628,145163.2520216697
397,130886.31948598564
587,204330.17824738828
971,132139.12307660413
2611,116847.76416634333
1887,106240.43419701888
2399,373195.3822452334
2148,193251.83589164133
304,132147.7152754945
1997,131666.65701564873
2817,110729.49646076738
1431,206899.5015512342
427,355693.6287833025
263,124782.24345581356
598,182394.14916457247
2895,257222.22832396097
687,128831.85696029107
1822,136329.9634131284
2191,94075.28571372616
179,104480.55232246526
1009,235187.7208352623
2010,137053.65149273633
1991,131807.3226214639
1411,217465.45895140327
1721,241156.27637378577
1144,199146.94359660114
593,210648.74378222608
575,318290.2269180427
1249,172440.37882924333
1604,116313.03059754828
1064,481548.06111593486
1923,144456.22342173947
1988,114969.70318202855
2325,164112.12735832657
114,207421.93525505098
2700,185737.5125666534
217,139877.66889088115
343,180486.9093787591
386,218650.24176122653
2005,129104.7660971064
2908,141941.0081550246
1814,232118.92874655063
2446,483899.5967040763
208,130235.56556708901
1679,112615.99445851413
822,304512.1277242461
6,189603.04027692898
1781,386208.3497349204
2397,341847.831778256
2340,314149.76992110646
1618,176894.77406323884
2843,154565.648594665
1061,368521.0068957973
2786,125114.49238207936
1935,130224.77172024854
1341,121377.17962089561
521,268705.57377320656
2136,132553.1669725155
996,203541.67678995963
227,137399.517279241
135,176967.61031951112
1167,156821.81831724377
294,237717.75179098142
1776,212474.9326596276
540,156157.14267292543
1717,226697.41878959505
2303,129073.18684023942
116,179135.94780144948
127,157560.67215783524
1371,128022.79589244665
1014,123575.36845826975
1507,113756.83919997061
702,118430.35107260541
750,155234.9034730968
261,143432.40997782728
1559,57847.24369588295
577,236066.64807358527
2812,192250.47871805797
2080,158791.0746805807
1368,115024.49067906052
2376,116772.93688706576
659,103179.94635517761
1235,129071.92520410784
332,69887.01887770154
1917,139310.30253641575
2094,247615.24272145532
1460,268047.64834500756
1471,218508.58516397336
1509,118327.57709843313
1922,122240.21960177313
433,495037.7088964854
460,255704.22666918457
1116,254903.34689915617
1137,152683.626948328
53,174586.45011934807
2354,270247.83971397544
1475,207103.00907442262
1761,468539.95749684935
842,123313.73704019465
2739,199617.99569490127
2509,144396.56814211913
1007,197847.84480508117
2610,177332.33513279987
1952,79015.54273361851
2719,155322.23447793088
2921,75072.77658737478
1966,146148.9516995739
292,118894.60102865868
1204,176519.60881656432
1829,265028.5462200388
2419,194216.68593123785
391,140380.8436863465
798,107439.54094495559
481,198787.3998220773
193,204454.36588754752
555,122626.7525042686
899,47604.63604658494
2357,184466.23672929787
328,128997.9280505731
1356,108116.99494958918
1154,89490.31124779797
1730,185319.8114937718
2249,173453.0778235624
1119,295510.13382665394
2856,152862.5732475555
1394,129716.11721043062
2587,93198.39121082252
61,327018.29376755655
2661,172314.07952922967
2711,139496.68532355904
1147,173335.29615282489
757,112451.26072378147
2623,124387.89836486876
2378,142200.98964164307
1413,124602.25927758878
1722,222095.2330464723
1112,235778.55756483143
1623,189422.56543763878
1201,198206.669009983
1513,122482.27849524618
957,415822.2810248488
1171,233230.51781950454
1145,199774.58797729755
2726,215991.25007923917
703,149613.81048692454
760,125028.7996824984
1964,153360.95628441992
2512,163782.84515147924
159,129884.04561522932
1281,165717.2279401795
468,200269.3000745772
290,128501.37187605313
665,109054.69398009955
1463,241749.41145623
1792,216734.5375174691
923,173816.49527922054
500,301569.93381901935
